,strain,serotype,serovar,isolation_source,country,state,collection_date,type_material,culture_collection,note,concat_pub
GCF_020530185.1,KSM56,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_030294905.1,LP13,NA,NA,teeth,Japan,NA,2012,NA,NA,NA," 1. Kuwahara,N., Saito,M., Hirasawa,M. and Takada,K.  Streptoccus mutans NUM LP13 Genome Sequencing. Unpublished. 2. Kuwahara,N., Saito,M., Hirasawa,M. and Takada,K.  Direct Submission. Submitted (03-APR-2014) Contact:Noriko Kuwahara Nihon University School of Dentistry at Matsudo, Oral Microbiology; Sakaecho-Nishi 2-870-1, Matsudo, Chiba 271-8587, Japan. "
GCF_032380135.1,08CAb2,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_000339775.1,A19,NA,NA,oral cavity,United Kingdom,NA,2006,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (07-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_020531525.1,KSM167,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020531105.1,KSM28,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020530805.1,KSM157,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_012642355.1,UAB-4,C,NA,plaque,USA,Alabama,2010-04-06,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (21-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_020529595.1,KSM205,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000339495.1,NLML8,NA,NA,oral cavity,United Kingdom,NA,2002,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (09-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_015670115.1,1001095IJ_161003_G6,NA,NA,stool,USA,NA,2016-10-03,NA,NA,NA," 1. Aggarwala,V. and Faith,J.  Quantification of discrete gut bacterial strains following fecal transplantation for recurrent Clostridioides difficile infection demonstrates long-term stable engraftment in non-relapsing recipients. Unpublished. 2. Aggarwala,V. and Faith,J.  Direct Submission. Submitted (22-SEP-2020) Genetics and Genomic Sciences, Icahn School of Medicine at Mount Sinai, 1470 Madison Ave, New York, NY 10029, USA. "
GCF_000229485.1,TCI-220,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_000339755.1,NVAB,NA,NA,oral cavity,USA,NA,1994,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (09-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_020530705.1,KSM219,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_015669655.1,D53t1_180928_E8,NA,NA,stool,USA,NA,2018-09-28,NA,NA,NA," 1. Aggarwala,V. and Faith,J.  Quantification of discrete gut bacterial strains following fecal transplantation for recurrent Clostridioides difficile infection demonstrates long-term stable engraftment in non-relapsing recipients. Unpublished. 2. Aggarwala,V. and Faith,J.  Direct Submission. Submitted (22-SEP-2020) Genetics and Genomic Sciences, Icahn School of Medicine at Mount Sinai, 1470 Madison Ave, New York, NY 10029, USA. "
GCF_000230025.1,TCI-51,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_020531305.1,KSM16,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000229705.1,TCI-249,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_026782685.1,Y16035778,NA,NA,blood,Denmark,Roskilde,2016-01-01,NA,NA,NA," 1. Christensen,J., Jensen,C., Dargis,R., Nielsen,X., Pries- Heje,M., Wiingaard,C., Ihlemann,N., Gill,S., Bruun,N., Elming,H., Povlsen,J., Madsen,T., Jensen,K., Fuursted,K., Ostergaard,L., Christiansen,U., Rosenvinge,F., Helweg-Larsen,J., Fosbol,E., Kober,L., Torp-Pedersen,C., Tonder,N., Moser,C., Iversen,K. and Bundgaard,H.  Genomic identification of streptococcal strains and relation to clinical characteristics. A substudy to The Partial Oral Treatment of Endocarditis (POET) Trial. Med Res Arch 10 (9) (2022) In press. 2. Christensen,J.J.E., Jensen,C.S., Nielsen,X.C. and Dargis,R.  Direct Submission. Submitted (23-FEB-2022) Department of Clinical Microbiology, Region Zealand, Ingemannsvej 46, Slagelse 4200, Denmark. "
GCF_900475095.1,NCTC10449,NA,Lancefield Group C,Carious dentine,NA,NA,1900/1966,type strain of Streptococcus mutans,NCTC:10449,NA," 1. Doyle,S. Pathogen Informatics Direct Submission. Submitted (08-JUN-2018) WTSI, Pathogen Informatics, Wellcome Trust Sanger Institute, CB10 1SA, United Kingdom. "
GCF_000228785.1,TCI-11,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_900459345.1,NCTC10923,NA,not available: to be reported later,NA,NA,NA,NA,NA,NA,contig: ERS685286SCcontig000002," 1. Doyle,S. Pathogen Informatics Direct Submission. Submitted (06-JUN-2018) WTSI, Pathogen Informatics, Wellcome Trust Sanger Institute, CB10 1SA, United Kingdom. "
GCF_000339715.1,11SSST2,c,NA,oral cavity,Brazil,NA,NA,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (08-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_032378735.1,37bPJ2,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_000496535.1,PKUSS-HG01,NA,NA,dental plaque,China,Beijing,2003-07,NA,NA,NA," 1. Zheng,H., Guo,L., Du,N., Lin,J., Song,L., Liu,G. and Chen,F.  Draft Genome Sequences of Two Clinical Isolates of Streptococcus mutans. Genome Announc 2 (3), e00441-14 (2014). 2. Zheng,H., Guo,L., Du,N., Lin,J., Song,L., Liu,G. and Chen,F.  Direct Submission. Submitted (22-OCT-2013) Department of Orthodontics, Central Laboratory, School of Stomatology, Peking University, No.5 Yiheyuan Road, Haidian District, Beijing 100871, China. "
GCF_000339135.1,M230,NA,NA,oral cavity,Brazil,NA,NA,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (10-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000007465.2,UA159,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1. Ajdic,D., McShan,W.M., McLaughlin,R.E., Savic,G., Chang,J., Carson,M.B., Primeaux,C., Tian,R., Kenton,S., Jia,H., Lin,S., Qian,Y., Li,S., Zhu,H., Najar,F., Lai,H., White,J., Roe,B.A. and Ferretti,J.J.  Genome sequence of Streptococcus mutans UA159, a cariogenic dental pathogen. Proc Natl Acad Sci U S A 99 (22), 14434-14439 (2002). 2. Ajdic,D., McShan,W.M., McLaughlin,R.E., Savic,G., Chang,J., Carson,M.B., Primeaux,C., Tian,R., Kenton,S., Jia,H., Lin,S., Qian,Y., Li,S., Zhu,H., Najar,F., Lai,H., White,J., Roe,B.A. and Ferretti,J.J.  Direct Submission. Submitted (01-SEP-2011) Department of Microbiology and Immunology, University of Oklahoma Health Sciences Center, 940 SL Young Blvd., Oklahoma City, OK 73104, USA. 3. Ajdic,D., McShan,W.M., McLaughlin,R.E., Savic,G., Chang,J., Carson,M.B., Primeaux,C., Tian,R., Kenton,S., Jia,H., Lin,S., Qian,Y., Li,S., Zhu,H., Najar,F., Lai,H., White,J., Roe,B.A. and Ferretti,J.J.  Direct Submission. Submitted (09-JUL-2002) Department of Microbiology and Immunology, University of Oklahoma Health Sciences Center, 940 SL Young Blvd., Oklahoma City, OK 73104, USA. "
GCF_020529745.1,KSM197,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000230005.1,TCI-400,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_000228845.1,TCI-120,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_012642005.1,UAB-28,C,NA,plaque,USA,Alabama,2009-10-13,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (13-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_020529345.1,KSM85,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000339295.1,NFSM2,NA,NA,oral cavity,United Kingdom,NA,1994,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (07-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_020531145.1,KSM29,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_012642125.1,UAB-21,C,NA,plaque,USA,Alabama,2007-05-15,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (13-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_020529795.1,KSM163,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000339695.1,11A1,NA,NA,oral cavity,Brazil,NA,NA,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (10-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000229365.1,TCI-202,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_000339955.1,N3209,NA,NA,oral cavity,United Kingdom,NA,1979,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (09-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_032379855.1,14BP3,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_026782885.1,A14000335,NA,NA,blood,Denmark,Copenhagen,2014-01-01,NA,NA,NA," 1. Christensen,J., Jensen,C., Dargis,R., Nielsen,X., Pries- Heje,M., Wiingaard,C., Ihlemann,N., Gill,S., Bruun,N., Elming,H., Povlsen,J., Madsen,T., Jensen,K., Fuursted,K., Ostergaard,L., Christiansen,U., Rosenvinge,F., Helweg-Larsen,J., Fosbol,E., Kober,L., Torp-Pedersen,C., Tonder,N., Moser,C., Iversen,K. and Bundgaard,H.  Genomic identification of streptococcal strains and relation to clinical characteristics. A substudy to The Partial Oral Treatment of Endocarditis (POET) Trial. Med Res Arch 10 (9) (2022) In press. 2. Christensen,J.J.E., Jensen,C.S., Nielsen,X.C. and Dargis,R.  Direct Submission. Submitted (23-FEB-2022) Department of Clinical Microbiology, Region Zealand, Ingemannsvej 46, Slagelse 4200, Denmark. "
GCF_018588765.1,Smu93,NA,NA,NA,USA,Florida,2017,NA,NA,NA," 1. Shields,R.C., Chan,V., Kaspar,J.R., Velsko,I.M., Richards,V.P. and Burne,R.A.  MreCD are required for correct cell shape, biofilm architecture and interspecies competition in Streptococcus mutans. Unpublished. 2. Shields,R.C., Velsko,I.M., Richards,V.P. and Burne,R.A.  Direct Submission. Submitted (08-FEB-2021) Oral Biology, University of Florida, 1395 Center Dr, Gainesville, FL 32610-3006, USA. "
GCF_000339815.1,G123,NA,NA,oral cavity,United Kingdom,NA,2006,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (08-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_032378995.1,26BM3,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_019048645.1,FDAARGOS 1458,NA,NA,NA,Germany,Braunschweig,NA,type strain of Streptococcus mutans,DSM:20523,NA," 1. Sproer,C., Gronow,S., Severitt,S., Schroder,I., Tallon,L., Sadzewicz,L., Zhao,X., Boylan,J., Ott,S., Bowen,H., Vavikolanu,K., Mehta,A., Aluvathingal,J., Nadendla,S., Lowell,S., Myers,T. and Yan,Y.  FDA dAtabase for Regulatory Grade micrObial Sequences (FDA-ARGOS): Supporting development and validation of Infectious Disease Dx tests. Unpublished. 2. Sproer,C., Gronow,S., Severitt,S., Schroder,I., Tallon,L., Sadzewicz,L., Zhao,X., Boylan,J., Ott,S., Bowen,H., Vavikolanu,K., Mehta,A., Aluvathingal,J., Nadendla,S., Lowell,S., Myers,T. and Yan,Y.  Direct Submission. Submitted (17-JUN-2021) Center for Devices and Radiological Health, US Food and Drug Administration, 10903 New Hampshire Avenue, White Oak, MD 20903, USA. "
GCF_024762175.1,COCC33-14R,NA,NA,dental plaque,China,Chengdu,2020-11-18,NA,NA,NA," 1. Li,X., Wang,Y., Jiang,X., Zeng,Y., Zhao,X., Washio,J. and Zhang,L.  Investigation of drug resistance of caries-related streptococci to antimicrobial peptide GH12. Front Cell Infect Microbiol (2022) In press. 2. Wang,Y., Li,X. and Zhang,L.  Direct Submission. Submitted (26-JUL-2022) West China School of Stomatology, Sichuan University, NO 14 Section 3 of South Renmin Road, Chengdu 610041, China. "
GCF_032379235.1,24CCb1,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_012642265.1,UAB-8,C,NA,plaque,USA,Alabama,2010-08-24,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (21-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
